MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1553,212,0
1554,251,0
1555,121,0
1556,91,0
1557,73,0
1558,42,0
1559,100,0
1560,212,31
1561,445,0
1562,350,0
1563,141,0
1564,140,0
1565,80,0
1566,341,0
1567,52,0
1568,27,0
1569,276,0
1570,219,0
1571,122,0
1572,144,0
1573,79,0
1574,207,0
1575,0,0
1576,176,0
1577,71,0
1578,100,0
1579,177,0
1580,105,0
1581,0,0
1582,132,0
1583,184,0
1584,103,5
1585,255,6
1586,155,0
1587,270,0
1588,287,0
1589,64,0
1590,134,0
1591,169,0
1592,112,2
1593,142,0
1594,78,0
1595,99,0
1596,289,8
1597,401,213
1598,139,0
1599,120,4
1600,154,3
1601,107,0
1602,212,0
1603,143,0
1604,98,0
1605,92,0
1606,196,5
1607,204,0
1608,220,0
1609,145,0
1610,173,0
1611,114,0
1612,100,0
1613,54,0
1614,175,0
1615,12,0
1616,24,5
1617,56,0
1618,51,0
1619,177,65
1620,88,0
1621,0,0
1622,8,0
1623,0,0
1624,0,0
1625,168,0
1626,175,0
1627,130,4
1628,198,0
1629,156,0
1630,0,0
1631,0,0
1632,0,0
1633,0,0
1634,16,0
1635,0,0
1636,5,0
1637,113,0
1638,67,0
1639,31,0
1640,60,4
1641,148,0
1642,65,0
1643,122,0
1644,135,0
1645,92,0
1646,0,0
1647,0,0
1648,38,0
1649,88,2
1650,114,0
1651,215,0
1652,131,15
1653,121,17
1654,180,0
1655,199,0
1656,135,0
1657,297,0
1658,146,0
1659,197,2
1660,144,0
1661,105,0
1662,98,0
1663,100,4
1664,316,117
1665,139,0
1666,114,0
1667,148,19
1668,0,0
1669,130,0
1670,167,0
1671,464,2
1672,127,0
1673,129,0
1674,134,0
1675,239,0
1676,120,0
1677,142,0
1678,178,0
1679,163,0
1680,154,0
1681,89,0
1682,173,0
1683,76,0
1684,386,0
1685,268,21
1686,205,0
1687,180,0
1688,167,0
1689,191,6
1690,210,0
1691,286,2
1692,313,0
1693,176,0
1694,267,0
1695,171,0
1696,132,0
1697,131,0
1698,149,0
1699,146,0
1700,152,0
1701,84,0
1702,125,4
1703,74,0
1704,121,0
1705,99,0
1706,81,0
1707,47,0
1708,101,0
1709,0,0
1710,136,0
1711,0,0
1712,99,21
1713,163,4
1714,170,210
1715,0,0
1716,0,0
1717,132,3
1718,171,11
1719,67,0
1720,0,0
1721,579,0
1722,119,0
1723,113,0
1724,300,0
1725,168,0
1726,264,0
1727,194,0
1728,199,0
1729,161,2
1730,282,0
1731,141,0
1732,140,0
1733,194,0
1734,100,0
1735,192,0
1736,159,13
1737,149,6
1738,102,3
1739,153,0
1740,126,0
1741,184,0
1742,168,0
1743,0,0
1744,0,0
1745,0,0
1746,141,0
1747,174,0
1748,33,0
1749,46,0
1750,111,0
1751,130,8
1752,168,0
1753,0,0
1754,148,17
1755,0,0
1756,115,40
1757,82,7
1758,3,0
1759,132,0
1760,137,0
1761,9,0
1762,43,0
1763,3,0
1764,0,0
1765,94,0
1766,0,0
1767,0,0
1768,0,0
1769,126,0
1770,48,0
1771,312,42
1772,165,0
1773,107,0
1774,102,4
1775,52,0
1776,138,6
1777,197,19
1778,73,0
1779,171,0
1780,144,0
1781,0,0
1782,44,0
1783,203,0
1784,87,0
1785,102,0
1786,106,0
1787,0,0
1788,111,114
1789,73,0
1790,202,0
1791,81,0
1792,0,0
1793,112,0
1794,90,0
1795,30,0
1796,354,8
1797,362,0
1798,193,0
1799,198,0
1800,304,0
1801,235,0
1802,425,153
1803,21,0
1804,39,0
1805,3,0
1806,206,0
1807,191,0
1808,80,0
1809,106,0
1810,109,0
1811,107,0
1812,0,0
1813,273,0
1814,234,0
1815,182,0
1816,157,0
1817,398,0
1818,160,0
1819,1,0
1820,60,0
1821,231,0
1822,357,8
1823,802,0
1824,311,0
1825,330,0
1826,217,0
1827,341,0
1828,181,14
1829,185,0
1830,131,0
1831,168,0
1832,188,0
1833,157,0
1834,192,0
1835,112,0
1836,180,0
1837,138,0
1838,152,0
1839,16,0
1840,55,0
1841,105,0
1842,86,0
1843,102,0
1844,365,85
1845,9,0
1846,0,0
1847,165,0
1848,110,0
1849,173,0
1850,282,0
1851,191,0
1852,1,239
1853,250,0
1854,405,0
1855,88,0
1856,177,0
1857,284,0
1858,11,0
1859,15,0
1860,150,1003
1861,0,0
1862,0,0
1863,198,0
1864,79,0
1865,2,328
1866,0,0
1867,0,2
1868,0,0
1869,257,9
1870,2,0
1871,0,65
1872,0,0
1873,0,0
1874,0,0
1875,400,0
1876,0,0
1877,0,32
1878,0,0
1879,15,30
1880,0,0
1881,0,0
1882,0,116
1883,162,231
1884,84,0
1885,192,3
1886,186,0
1887,84,0
1888,167,0
1889,499,0
1890,106,0
1891,202,94
1892,0,0
1893,49,205
1894,16,0
1895,141,0
1896,285,0
1897,155,0
1898,159,0
1899,56,3
1900,193,0
1901,86,0
1902,74,15
1903,177,66
1904,127,0
1905,4,2
1906,55,1
1907,177,0
1908,25,0
1909,0,0
1910,53,0
1911,52,0
1912,12,0
1913,0,0
1914,0,0
1915,197,14
1916,298,0
1917,24,0
1918,82,0
1919,88,0
1920,249,0
1921,133,0
1922,132,0
1923,86,0
1924,97,0
1925,0,0
1926,0,0
1927,55,36
1928,0,0
1929,602,0
1930,232,0
1931,158,0
1932,6,0
1933,0,0
1934,39,0
1935,1,19
1936,0,0
1937,13,334
1938,90,0
1939,0,0
1940,36,0
1941,38,0
1942,36,0
1943,135,0
1944,409,0
1945,47,0
1946,344,138
1947,567,0
1948,597,5
1949,76,0
1950,275,0
1951,175,0
1952,96,0
1953,581,0
1954,328,0
1955,380,0
1956,20,0
1957,141,277
1958,99,0
1959,12,0
1960,0,0
1961,0,0
1962,471,0
1963,444,0
1964,900,0
1965,50,0
1966,624,0
1967,614,0
1968,240,2
1969,0,0
1970,317,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,18,0
1977,4,0
1978,29,0
1979,3,3
1980,26,0
1981,140,0
1982,0,0
1983,381,45
1984,151,3
1985,23,0
1986,19,2
1987,58,0
1988,0,0
1989,0,0
1990,0,11
1991,237,0
1992,594,0
1993,314,400
1994,307,1
1995,0,0
1996,2,0
1997,0,18
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,1,0
2005,149,3
2006,0,1599
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,1,0
2018,0,0
2019,7,3
2020,0,0
2021,389,0
2022,588,0
2023,3,0
2024,1,0
2025,94,0
2026,449,0
2027,25,0
2028,0,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,2,0
2034,0,0
2035,112,0
2036,10,0
2037,0,0
2038,167,0
2039,1,0
2040,0,0
2041,0,0
2042,172,0
2043,713,0
2044,42,0
2045,0,0
2046,640,0
2047,0,0
2048,0,0
2049,0,0
2050,0,9
2051,0,29
2052,590,0
2053,197,0
2054,127,0
2055,380,9
2056,226,16
2057,408,0
2058,524,0
2059,460,0
2060,384,20
2061,314,0
2062,202,0
2063,655,0
2064,0,0
2065,30,0
2066,880,0
2067,0,0
2068,0,0
2069,1045,0
2070,0,0
2071,1,0
2072,252,0
2073,618,0
2074,1022,0
2075,490,0
2076,0,0
2077,891,0
2078,786,0
2079,269,0
2080,0,0
2081,505,0
2082,0,0
2083,0,0
2084,868,0
2085,0,0
2086,393,0
2087,54,0
2088,330,0
2089,57,0
2090,280,0
2091,181,0
2092,265,3
2093,208,6
2094,403,16
2095,176,1
2096,430,10
2097,395,0
2098,101,0
2099,215,14
2100,103,0
2101,73,0
2102,350,0
2103,251,0
2104,453,0
2105,70,0
2106,127,0
2107,20,3
2108,98,0
2109,377,0
2110,74,0
2111,4,0
2112,302,0
